,ID,Policy Start Date,Policy End Date,Gender,Age,First Transaction Date,No_Pol,Car_Category,Subject_Car_Make,ProductName,target
3739,ID_B4AERPV,2010-11-22,2011-11-21,Female,58.0,2010-11-22,2,Saloon,TOYOTA,Car Classic,0
3740,ID_B4F0CAS,2010-08-02,2011-08-01,Male,56.0,2010-08-02,1,JEEP,TOYOTA,Car Classic,0
3742,ID_B50WN2K,2010-09-04,2011-09-03,Female,30.0,2010-09-04,1,Saloon,TOYOTA,CarSafe,0
3744,ID_B5CQX42,2010-07-15,2011-07-14,Male,33.0,2010-07-15,1,Saloon,Lexus,Car Classic,0
3745,ID_B5IUYYK,2010-05-24,2011-05-23,Female,37.0,2010-05-24,1,JEEP,Honda,Car Classic,0
3746,ID_B5MF65K,2010-03-11,2011-03-10,Male,36.0,2010-03-11,1,Saloon,TOYOTA,Car Classic,0
3747,ID_B5NWLI3,2010-04-10,2011-04-09,Male,59.0,2010-04-10,1,JEEP,Ford,Car Classic,0
3751,ID_B5YZWH4,2010-03-04,2011-03-03,Male,38.0,2010-03-04,1,Saloon,TOYOTA,Car Classic,1
3754,ID_B6G2LIJ,2010-01-22,2011-01-21,Male,35.0,2010-01-22,1,Saloon,TOYOTA,Car Classic,0
3756,ID_B6K6Q6Q,2010-02-05,2011-02-04,Male,41.0,2010-02-05,1,Saloon,Nissan,CarSafe,0
3760,ID_B7C9B2S,2010-06-11,2011-06-10,Male,50.0,2010-06-11,1,Saloon,Honda,CarSafe,0
3761,ID_B7D7IZR,2010-07-04,2011-06-14,Male,32.0,2010-07-04,2,JEEP,TOYOTA,Car Classic,1
3762,ID_B7FPX4Q,2010-07-31,2011-07-30,Male,41.0,2010-07-31,2,Saloon,Honda,CarSafe,0
3764,ID_B7UE29W,2010-01-24,2011-01-23,Male,52.0,2010-01-24,3,Saloon,Kia,Car Classic,0
3766,ID_B7X7LDL,2010-02-04,2011-02-03,Male,60.0,2010-02-04,1,Saloon,Volvo,CarSafe,0
3768,ID_B8HCVD1,2010-01-30,2011-01-29,Female,77.0,2010-01-30,2,JEEP,Honda,Car Classic,0
3769,ID_B8KSX8R,2010-06-18,2011-06-13,Male,52.0,2010-06-18,1,Saloon,TOYOTA,Car Classic,1
3770,ID_B8UXQK3,2010-06-11,2011-06-10,Male,75.0,2010-06-11,2,JEEP,Lexus,Car Classic,0
3772,ID_B97JRMM,2010-06-27,2011-06-26,Male,79.0,2010-06-27,1,Saloon,TOYOTA,Car Classic,0
3773,ID_B9CN52D,2010-12-09,2011-12-08,Female,33.0,2010-12-09,1,Saloon,TOYOTA,Car Classic,0
3774,ID_B9DC4XW,2010-02-14,2011-02-13,Female,44.0,2010-02-14,1,Saloon,TOYOTA,Car Classic,0
3775,ID_B9I7SPT,2010-10-27,2011-10-26,Female,52.0,2010-10-27,2,Saloon,Hyundai,Car Classic,0
3777,ID_B9VGBQ9,2010-03-05,2011-03-04,Female,39.0,2010-03-05,1,Saloon,TOYOTA,Car Classic,0
3778,ID_BA66KY4,2010-05-14,2011-05-13,Male,58.0,2010-05-14,1,Saloon,Honda,CarSafe,0
3780,ID_BABPRC7,2010-03-15,2011-03-14,Male,34.0,2010-03-15,1,JEEP,TOYOTA,Car Classic,0
3781,ID_BACVBTE,2010-03-16,2011-03-15,Male,41.0,2010-03-16,1,Saloon,TOYOTA,Car Classic,0
3782,ID_BAGKG81,2010-07-22,2011-07-21,Male,58.0,2010-07-22,1,Saloon,TOYOTA,CarSafe,0
3783,ID_BALSLJI,2010-01-15,2011-01-14,Male,46.0,2010-01-15,1,JEEP,TOYOTA,Car Classic,0
3784,ID_BAPWCAC,2010-07-02,2011-07-01,Male,25.0,2010-07-02,1,Saloon,TOYOTA,Car Classic,1
3785,ID_BARM7WH,2010-02-12,2011-02-11,Male,43.0,2010-02-12,1,Bus,TOYOTA,Car Classic,0
3787,ID_BAW5FLI,2010-03-29,2011-03-28,Male,34.0,2010-03-29,1,Saloon,TOYOTA,Car Classic,0
3788,ID_BAY0FJE,2010-07-01,2011-06-30,Male,36.0,2010-07-01,2,Saloon,TOYOTA,Car Classic,1
3791,ID_BB8LZC8,2010-06-17,2011-06-16,Male,40.0,2010-06-17,1,Saloon,TOYOTA,CarSafe,0
3792,ID_BB9P1DE,2010-07-30,2011-02-05,Male,32.0,2010-07-30,4,Saloon,TOYOTA,Car Classic,0
3793,ID_BBAVOJX,2010-04-16,2011-04-15,Male,41.0,2010-04-16,1,Saloon,TOYOTA,CarSafe,0
3795,ID_BBF1LZ7,2010-02-08,2011-02-07,Male,40.0,2010-02-08,1,Saloon,TOYOTA,CarSafe,0
3798,ID_BBLWA30,2010-02-20,2011-02-19,Female,40.0,2010-02-20,1,Saloon,TOYOTA,Car Classic,0
3799,ID_BBMFMP7,2010-02-15,2011-02-14,Male,47.0,2010-02-15,1,JEEP,TOYOTA,Car Classic,0
3801,ID_BBNBYRT,2010-04-02,2011-04-01,Male,34.0,2010-04-02,1,Saloon,Honda,CarSafe,0
3803,ID_BBQVF10,2010-04-12,2011-04-11,Male,42.0,2010-04-12,1,Saloon,Mercedes,CarSafe,0
3807,ID_BBU6B5K,2010-12-16,2011-12-15,Female,73.0,2010-12-16,2,Saloon,TOYOTA,Customized Motor,0
3808,ID_BBW2AAM,2010-02-04,2011-02-03,Male,37.0,2010-02-04,2,Saloon,TOYOTA,Car Classic,1
3809,ID_BC0DM9L,2010-02-13,2011-02-12,Female,20.0,2010-02-13,3,JEEP,TOYOTA,Customized Motor,0
3810,ID_BC1B901,2010-06-28,2011-06-26,Male,53.0,2010-06-28,1,Saloon,TOYOTA,CarSafe,0
3812,ID_BCTD16D,2010-01-28,2011-01-27,Male,64.0,2010-01-28,1,JEEP,TOYOTA,Car Classic,0
3813,ID_BCU8AO3,2010-09-14,2011-08-05,Joint Gender,54.0,2010-09-14,2,JEEP,Mitsubishi,Car Classic,0
3816,ID_BD1E51P,2010-08-03,2011-05-05,Male,41.0,2010-08-03,1,Saloon,TOYOTA,Car Classic,0
3818,ID_BDLPMS7,2010-07-31,2011-07-30,Female,29.0,2010-07-31,1,Saloon,TOYOTA,Car Plus,0
3819,ID_BDMUA4F,2010-10-05,2011-10-04,Female,45.0,2010-10-05,3,JEEP,TOYOTA,Car Classic,0
3821,ID_BE929PV,2010-02-07,2011-02-06,Male,50.0,2010-02-07,1,Saloon,TOYOTA,CarSafe,0
3822,ID_BEC45BE,2010-02-21,2011-02-20,Male,28.0,2010-02-21,1,Saloon,Land Rover,CarSafe,0
3825,ID_BEFO3LF,2010-12-27,2011-12-26,Female,34.0,2010-12-27,1,Saloon,TOYOTA,Car Classic,0
3827,ID_BEIZPFK,2010-03-21,2011-03-20,Male,44.0,2010-03-21,2,Truck,Man,CVTP,0
3829,ID_BER2L5R,2010-03-21,2011-03-20,Female,50.0,2010-03-21,1,Saloon,Hyundai,Car Classic,0
3830,ID_BEWKIW9,2010-10-01,2011-09-29,Male,36.0,2010-10-01,2,Saloon,Honda,Car Classic,1
3833,ID_BFD2BG6,2010-07-30,2011-07-29,Female,29.0,2010-07-30,1,Saloon,TOYOTA,Car Classic,0
3834,ID_BFEQUI9,2010-01-20,2011-01-19,Male,49.0,2010-01-20,2,Saloon,Volkswagen,Car Classic,0
3835,ID_BFFZFWN,2010-11-07,2011-11-06,Male,50.0,2010-11-07,1,Saloon,TOYOTA,CarSafe,0
3836,ID_BFLH4NA,2010-01-16,2011-01-15,Female,40.0,2010-01-16,1,Saloon,TOYOTA,CarSafe,0
3839,ID_BG7L18B,2010-07-12,2011-07-11,Male,50.0,2010-07-12,1,Saloon,TOYOTA,CarSafe,0
3842,ID_BGWJYUW,2010-02-15,2011-02-14,Male,35.0,2010-02-15,1,Saloon,Lexus,Car Classic,0
3843,ID_BH32R7F,2010-01-04,2011-01-03,Male,46.0,2010-01-04,1,JEEP,TOYOTA,Car Classic,0
3845,ID_BHB97V4,2010-12-11,2011-12-10,Female,56.0,2010-12-11,1,JEEP,BMW,CarSafe,0
3846,ID_BHBN9QV,2010-09-27,2011-09-26,Male,40.0,2010-09-27,1,Saloon,TOYOTA,CarFlex,1
3847,ID_BHEAKCC,2010-11-07,2011-11-06,Male,30.0,2010-11-07,1,Saloon,TOYOTA,Car Classic,0
3849,ID_BHKWLUA,2010-09-12,2011-09-11,Male,45.0,2010-09-12,1,Saloon,TOYOTA,Car Classic,0
3851,ID_BHPDA4O,2010-07-04,2011-07-03,Male,36.0,2010-07-04,2,Saloon,TOYOTA,Car Classic,1
3852,ID_BHQ267A,2010-02-26,2011-02-25,Male,48.0,2010-02-26,1,Saloon,Honda,Car Classic,0
3853,ID_BHWQA2R,2010-04-25,2011-04-24,Male,59.0,2010-04-25,1,Saloon,Kia,Car Classic,0
3854,ID_BHZPTOZ,2010-06-29,2011-06-27,Male,48.0,2010-06-29,1,JEEP,TOYOTA,Car Classic,0
3855,ID_BI0HCF1,2010-05-16,2011-05-15,Male,43.0,2010-05-16,1,Saloon,TOYOTA,Car Classic,0
3861,ID_BIP3Z7H,2010-11-13,2011-11-12,Female,36.0,2010-11-13,1,Saloon,TOYOTA,CarFlex,0
3862,ID_BIQI629,2010-03-04,2011-02-03,Male,40.0,2010-03-04,2,JEEP,TOYOTA,Car Classic,0
3863,ID_BIQMWK3,2010-10-09,2011-08-30,Female,35.0,2010-10-09,1,Saloon,TOYOTA,Car Classic,1
3864,ID_BITH0J3,2010-01-19,2011-01-18,Female,53.0,2010-01-19,2,Saloon,TOYOTA,Car Plus,0
3865,ID_BIV8C5X,2010-07-04,2011-07-03,Male,29.0,2010-07-04,1,Saloon,TOYOTA,CarSafe,0
3866,ID_BJ7NJ2D,2010-11-14,2011-11-13,Male,39.0,2010-11-14,2,Saloon,Kia,Car Classic,0
3867,ID_BJ8BRMJ,2010-02-01,2011-01-31,Male,27.0,2010-02-01,1,Saloon,TOYOTA,Car Classic,0
3868,ID_BJ95L9P,2010-09-05,2011-04-17,Male,36.0,2010-09-05,2,Saloon,TOYOTA,Car Classic,1
3869,ID_BJE0FIF,2010-02-03,2011-02-02,Male,45.0,2010-02-03,2,Saloon,Hyundai,Car Classic,0
3870,ID_BJGEHDV,2010-07-29,2011-07-28,Male,45.0,2010-07-29,2,JEEP,Ford,Car Classic,1
3872,ID_BJXJFJV,2010-10-07,2011-04-06,Male,28.0,2010-10-07,2,Saloon,TOYOTA,Car Classic,1
3873,ID_BJYZ0ZZ,2010-03-16,2011-03-15,Male,39.0,2010-03-16,1,Saloon,Lexus,Car Plus,0
3875,ID_BKLCMUA,2010-04-03,2011-04-02,Female,38.0,2010-04-03,1,Saloon,Ford,CarSafe,0
3876,ID_BKRVB9K,2010-07-15,2011-01-13,Male,50.0,2010-07-15,2,Saloon,TOYOTA,Car Classic,0
3878,ID_BL5P125,2010-06-14,2011-06-13,Male,45.0,2010-06-14,3,Saloon,TOYOTA,Car Classic,0
3879,ID_BL8JWBF,2010-02-21,2011-02-20,Female,32.0,2010-02-21,1,Saloon,TOYOTA,CarSafe,0
3881,ID_BLCPVTS,2010-12-16,2011-12-15,Male,56.0,2010-12-16,1,Truck,Iveco,CVTP,0
3882,ID_BLOCOHT,2010-02-19,2011-02-18,Male,36.0,2010-02-19,2,Saloon,TOYOTA,Car Plus,0
3883,ID_BLRP214,2010-05-19,2011-05-17,Male,36.0,2010-05-19,1,Saloon,Seat,CarSafe,0
3887,ID_BM2BNIT,2010-07-08,2011-01-01,Male,46.0,2010-07-08,1,Saloon,TOYOTA,Car Classic,0
3888,ID_BM44ML7,2010-02-06,2011-02-05,Male,25.0,2010-02-06,1,Saloon,TOYOTA,Car Classic,0
3889,ID_BM566YJ,2010-01-30,2011-01-29,Male,34.0,2010-01-30,1,Saloon,Pontiac,Car Classic,1
3890,ID_BM5E379,2010-12-06,2011-09-24,Female,42.0,2010-12-06,1,JEEP,Land Rover,Car Classic,0
3891,ID_BM6UVJ1,2010-07-17,2011-07-16,Male,31.0,2010-07-17,1,Saloon,TOYOTA,Car Classic,0
3893,ID_BMED8WJ,2010-02-18,2011-02-17,Male,41.0,2010-02-18,1,Saloon,TOYOTA,CarSafe,0
3894,ID_BMF97AD,2010-06-24,2011-06-23,Female,37.0,2010-06-24,1,Saloon,Honda,CarSafe,0
3895,ID_BMKY83R,2010-04-26,2011-04-25,Male,30.0,2010-04-26,1,Saloon,TOYOTA,Car Classic,1
3896,ID_BMOU4CM,2010-05-28,2011-05-27,Male,46.0,2010-05-28,1,Saloon,TOYOTA,CarSafe,0
3897,ID_BMR4DF7,2010-02-26,2011-02-25,Male,62.0,2010-02-26,1,Saloon,Mitsubishi,CarSafe,0
3900,ID_BMSRI2L,2010-10-28,2011-10-27,Male,42.0,2010-10-28,2,JEEP,Lexus,Customized Motor,0
3902,ID_BNK6TYR,2010-02-28,2011-02-27,Male,34.0,2010-02-28,1,Saloon,Mazda,CarSafe,0
3904,ID_BNMQLPH,2010-06-13,2011-06-12,Male,37.0,2010-06-13,1,Saloon,TOYOTA,Car Classic,0
3905,ID_BNQIPCY,2010-07-02,2011-07-01,Male,45.0,2010-07-02,1,Saloon,TOYOTA,Car Classic,0
3907,ID_BO70RJN,2010-09-13,2011-09-12,Male,34.0,2010-09-13,1,Saloon,TOYOTA,Car Classic,0
3910,ID_BO8Q7SE,2010-03-29,2011-03-28,Female,39.0,2010-03-29,2,JEEP,Kia,Car Classic,0
3911,ID_BODNALL,2010-07-30,2011-07-29,Male,46.0,2010-07-30,2,Saloon,Nissan,Car Classic,0
3912,ID_BOJPEPP,2010-05-23,2011-05-22,Male,75.0,2010-05-23,2,Saloon,TOYOTA,Car Classic,0
3913,ID_BOR8QEI,2010-03-14,2011-01-01,Male,30.0,2010-03-14,1,Saloon,Mercedes,Car Classic,0
3914,ID_BP27GMQ,2010-03-16,2011-03-15,Male,39.0,2010-03-16,1,Saloon,TOYOTA,CarSafe,0
3915,ID_BP5DX8A,2010-11-29,2011-11-28,Female,33.0,2010-11-29,1,Saloon,TOYOTA,CarSafe,0
3916,ID_BP7ULQ2,2010-10-29,2011-01-28,Male,35.0,2010-10-29,2,JEEP,Mazda,Car Classic,0
3918,ID_BPOJTKE,2010-04-25,2011-04-24,Male,35.0,2010-04-25,1,Saloon,TOYOTA,Car Classic,1
3922,ID_BPX23J5,2010-02-14,2011-02-13,Female,41.0,2010-02-14,1,Saloon,Hyundai,CarSafe,0
3925,ID_BQ2404C,2010-02-08,2011-02-07,Female,50.0,2010-02-08,1,Saloon,TOYOTA,Car Classic,0
3926,ID_BQ7ZD6F,2010-02-06,2011-02-05,Female,40.0,2010-02-06,1,Saloon,Kia,Car Classic,0
3927,ID_BQF9HOC,2010-03-01,2011-03-01,Male,50.0,2010-03-01,1,Saloon,TOYOTA,CarSafe,0
3929,ID_BQJ8K4X,2010-07-19,2011-07-18,Male,31.0,2010-07-19,1,Saloon,TOYOTA,Car Plus,0
3930,ID_BQLM8AD,2010-02-05,2011-02-04,Male,45.0,2010-02-05,1,Saloon,Mercedes,CarSafe,0
3931,ID_BQOTJPH,2010-03-06,2011-03-05,Female,37.0,2010-03-06,1,Saloon,TOYOTA,Car Classic,0
3932,ID_BR19Y7E,2010-04-24,2011-04-23,Male,37.0,2010-04-24,1,Saloon,TOYOTA,Car Classic,0
3937,ID_BRG3IDA,2010-02-27,2011-02-26,Female,61.0,2010-02-27,1,Saloon,TOYOTA,CarSafe,0
3940,ID_BRPEX3D,2010-06-24,2011-06-23,Male,42.0,2010-06-24,1,JEEP,TOYOTA,Car Classic,0
3941,ID_BRS5I75,2010-11-29,2011-11-28,Male,46.0,2010-11-29,1,JEEP,ACURA,Car Classic,0
3942,ID_BRYLI43,2010-04-15,2011-04-14,Male,50.0,2010-04-15,1,Saloon,Honda,CarSafe,0
3944,ID_BS2P6ZC,2010-08-24,2011-08-23,Female,54.0,2010-08-24,2,Saloon,TOYOTA,Car Classic,0
3945,ID_BS3NFC7,2010-01-18,2011-01-17,Female,40.0,2010-01-18,1,Saloon,TOYOTA,Car Classic,1
3947,ID_BS58099,2010-11-07,2011-02-07,Female,34.0,2010-11-07,1,Saloon,Honda,CarFlex,0
3949,ID_BSC3TPW,2010-12-19,2011-03-18,Male,40.0,2010-12-19,1,Saloon,Hyundai,Car Classic,0
3951,ID_BSJALHC,2010-07-31,2011-07-30,Male,62.0,2010-07-31,1,JEEP,Lexus,Car Classic,0
3952,ID_BSPKBSU,2010-04-08,2011-04-07,Male,44.0,2010-04-08,2,JEEP,Lexus,Car Classic,0
3955,ID_BTB7YPN,2010-10-27,2011-10-26,Male,20.0,2010-10-27,1,JEEP,Hyundai,Car Classic,0
3957,ID_BTHZFHP,2010-11-28,2011-11-27,Male,35.0,2010-11-28,1,Saloon,TOYOTA,Car Classic,1
3959,ID_BTLXIAH,2010-11-19,2011-05-19,Female,51.0,2010-11-19,2,JEEP,Lexus,Car Classic,0
3960,ID_BTOHZOY,2010-11-22,2011-11-21,Male,65.0,2010-11-22,1,Saloon,TOYOTA,Car Classic,0
3962,ID_BU5ZV38,2010-02-13,2011-02-12,Male,50.0,2010-02-13,1,Saloon,Mercedes,CarSafe,0
3963,ID_BU6J1WF,2010-08-26,2011-08-25,Female,47.0,2010-08-26,2,Saloon,TOYOTA,Car Classic,0
3964,ID_BU78OEJ,2010-03-20,2011-03-16,Female,32.0,2010-03-20,1,Saloon,Kia,Car Classic,0
3968,ID_BUUPJZK,2010-10-03,2011-10-02,Male,42.0,2010-10-03,1,Saloon,Volkswagen,CarSafe,0
3969,ID_BUWTD6L,2010-04-29,2011-04-28,Male,54.0,2010-04-29,2,JEEP,Lexus,Customized Motor,1
3970,ID_BV0MD41,2010-01-08,2011-01-07,Female,37.0,2010-01-08,1,JEEP,TOYOTA,Car Classic,1
3972,ID_BV4NYXQ,2010-03-29,2011-03-28,Male,74.0,2010-03-29,1,JEEP,TOYOTA,Car Classic,0
3973,ID_BVFHFI4,2010-01-21,2011-01-20,Male,45.0,2010-01-21,1,Saloon,TOYOTA,Car Classic,1
3974,ID_BVHF30H,2010-05-07,2011-05-06,Female,66.0,2010-05-07,1,JEEP,Lexus,Car Classic,0
3975,ID_BVLERB3,2010-01-10,2011-01-09,Male,80.0,2010-01-10,1,JEEP,TOYOTA,Car Classic,0
3978,ID_BVSFA2R,2010-02-18,2011-02-17,Male,37.0,2010-02-18,1,Saloon,TOYOTA,CarSafe,0
3979,ID_BVVCT8G,2010-07-11,2011-01-08,Male,36.0,2010-07-11,1,Saloon,TOYOTA,Car Classic,0
3981,ID_BW3J3WG,2010-05-10,2011-05-09,Female,34.0,2010-05-10,1,Motorcycle,Honda,Motor Cycle,0
3982,ID_BW5QGB0,2010-01-06,2011-01-05,Male,40.0,2010-01-06,1,Saloon,TOYOTA,Car Classic,1
3983,ID_BW7BR2N,2010-07-13,2011-07-12,Male,73.0,2010-07-13,1,JEEP,TOYOTA,CarFlex,0
3984,ID_BWAK30M,2010-04-25,2011-04-24,Male,39.0,2010-04-25,1,Saloon,TOYOTA,Car Classic,0
3985,ID_BWAOP5P,2010-06-11,2011-06-10,Male,36.0,2010-06-11,1,Saloon,Honda,CarSafe,0
3986,ID_BWB5APZ,2010-07-04,2011-07-03,Female,45.0,2010-07-04,1,Saloon,Hyundai,CarSafe,0
3987,ID_BWG6ADL,2010-03-18,2011-03-17,Male,40.0,2010-03-18,1,Saloon,TOYOTA,CarSafe,0
3989,ID_BWIJXHB,2010-03-28,2011-03-27,Male,37.0,2010-03-28,1,Saloon,TOYOTA,CarSafe,0
3990,ID_BX1QW8Q,2010-04-05,2011-04-04,Female,45.0,2010-04-05,6,JEEP,Hyundai,Car Classic,0
3992,ID_BX92MKO,2010-07-16,2011-07-15,Male,76.0,2010-07-16,3,Saloon,TOYOTA,Car Classic,0
3994,ID_BXPW0NQ,2010-06-05,2011-05-26,Female,56.0,2010-06-05,3,JEEP,Mitsubishi,Customized Motor,0
3995,ID_BY22W7O,2010-05-31,2011-05-30,Male,60.0,2010-05-31,4,JEEP,Lexus,Customized Motor,0
3997,ID_BY6T9X1,2010-03-25,2011-03-23,Male,51.0,2010-03-25,1,JEEP,Honda,CarSafe,0
4002,ID_BZ0WEYP,2010-02-01,2011-01-31,Male,33.0,2010-02-01,1,Saloon,Honda,Car Classic,0
4003,ID_BZ1VHKE,2010-07-12,2011-07-11,Male,34.0,2010-07-12,1,Saloon,TOYOTA,Car Classic,0
4004,ID_BZA16LU,2010-08-06,2011-08-05,Female,40.0,2010-08-06,1,Saloon,Ford,Car Classic,0
4006,ID_BZLXPTQ,2010-04-24,2011-04-23,Male,37.0,2010-04-24,1,Saloon,TOYOTA,Car Classic,1
4007,ID_C0DPGMH,2010-10-21,2011-10-20,Male,49.0,2010-10-21,1,JEEP,TOYOTA,Car Classic,0
4008,ID_C0I7439,2010-02-06,2011-02-05,Male,61.0,2010-02-06,1,Saloon,Peugeot,CarSafe,0
4009,ID_C0L9GI4,2010-02-27,2011-02-26,Female,37.0,2010-02-27,1,Saloon,Nissan,Car Classic,1
4012,ID_C0XB1ZC,2010-11-16,2011-11-15,Male,50.0,2010-11-16,1,Saloon,TOYOTA,CarSafe,0
4014,ID_C1DEUYR,2010-03-19,2011-03-18,Male,55.0,2010-03-19,1,Saloon,TOYOTA,CarSafe,0
4016,ID_C1H5PC7,2010-11-15,2011-11-14,Female,28.0,2010-11-15,1,Saloon,Hyundai,Car Plus,0
4017,ID_C1ILG8O,2010-07-30,2011-02-05,Male,32.0,2010-07-30,4,Saloon,TOYOTA,Car Classic,0
4019,ID_C1K5WKK,2010-06-27,2011-06-26,Female,31.0,2010-06-27,1,Saloon,TOYOTA,Car Classic,0
4021,ID_C1RJ4UD,2010-05-06,2011-05-05,Female,40.0,2010-05-06,1,Saloon,TOYOTA,CarSafe,0
4023,ID_C1XIIUB,2010-07-29,2011-07-28,Female,46.0,2010-07-29,1,Saloon,TOYOTA,Car Classic,0
4024,ID_C27U0Q6,2010-05-31,2011-05-29,Female,27.0,2010-05-31,1,Saloon,TOYOTA,Car Classic,1
4025,ID_C27XBB1,2010-02-28,2011-02-27,Male,40.0,2010-02-28,1,Saloon,TOYOTA,Car Plus,1
4026,ID_C2KGGI3,2010-07-22,2011-07-21,Female,34.0,2010-07-22,1,Saloon,TOYOTA,Car Classic,0
4027,ID_C2LJG90,2010-03-08,2011-03-07,Male,53.0,2010-03-08,1,JEEP,Honda,CarSafe,0
4031,ID_C2TJ750,2010-01-27,2011-01-26,Female,36.0,2010-01-27,1,JEEP,Ford,CarFlex,0
4032,ID_C2WA7IE,2010-07-16,2011-07-15,Female,41.0,2010-07-16,1,Saloon,Lexus,Car Classic,0
4033,ID_C2WPSWE,2010-09-24,2011-09-23,Male,47.0,2010-09-24,1,Saloon,Ford,CarSafe,0
4036,ID_C35Z506,2010-12-10,2011-12-09,Male,44.0,2010-12-10,1,Saloon,TOYOTA,Car Classic,1
4038,ID_C3B5EHF,2010-02-18,2011-02-17,Female,69.0,2010-02-18,1,Saloon,TOYOTA,Car Classic,0
4039,ID_C3FHRXU,2010-05-21,2011-05-20,Male,47.0,2010-05-21,1,Saloon,TOYOTA,CarSafe,0
4040,ID_C3J2V78,2010-01-17,2011-01-16,Female,63.0,2010-01-17,1,Saloon,Hyundai,Car Classic,0
4041,ID_C3LQLA0,2010-01-10,2011-01-09,Male,52.0,2010-01-10,1,Saloon,Range Rover,CarSafe,0
4044,ID_C42S94A,2010-04-04,2011-04-03,Female,48.0,2010-04-04,1,Saloon,TOYOTA,Car Classic,0
4045,ID_C441A8H,2010-07-23,2011-07-22,Male,54.0,2010-07-23,4,Saloon,Lexus,CarSafe,0
4046,ID_C48KDR9,2010-07-18,2011-07-17,Female,51.0,2010-07-18,1,Saloon,TOYOTA,CarSafe,0
4047,ID_C4BHZ3N,2010-09-04,2011-09-03,Male,50.0,2010-09-04,1,Saloon,Infiniti,CarSafe,0
4049,ID_C4IEZ37,2010-11-12,2011-11-04,Male,70.0,2010-11-12,1,JEEP,Mercedes,Car Classic,0
4050,ID_C4IHRQ5,2010-02-21,2011-02-20,Male,50.0,2010-02-21,1,Saloon,Honda,CarSafe,0
4051,ID_C4SOJ7O,2010-07-01,2011-04-09,Male,85.0,2010-07-01,1,Saloon,TOYOTA,Car Classic,0
4052,ID_C4T5YJN,2010-03-13,2011-03-12,Female,36.0,2010-03-13,3,Saloon,TOYOTA,Car Plus,0
4054,ID_C52PAJW,2010-01-22,2011-01-21,Female,35.0,2010-01-22,1,Saloon,TOYOTA,CarSafe,0
4056,ID_C57W755,2010-04-30,2011-04-27,Female,40.0,2010-04-30,1,Saloon,Honda,Car Classic,0
4057,ID_C59OKEM,2010-01-22,2011-01-21,Female,45.0,2010-01-22,2,JEEP,TOYOTA,Car Classic,0
4062,ID_C5QH6YB,2010-01-24,2011-01-23,Male,39.0,2010-01-24,1,JEEP,Lexus,Car Classic,0
4063,ID_C5Z8SDM,2010-12-12,2011-12-11,Female,32.0,2010-12-12,1,Saloon,Honda,Car Classic,0
4064,ID_C676K01,2010-10-02,2011-01-01,Male,30.0,2010-10-02,1,Saloon,TOYOTA,Car Classic,1
4065,ID_C68I2MH,2010-04-25,2011-04-24,Male,32.0,2010-04-25,4,Saloon,TOYOTA,CarSafe,0
4066,ID_C692OYL,2010-03-21,2011-03-20,Male,54.0,2010-03-21,3,JEEP,Land Rover,Car Classic,0
4068,ID_C6FR249,2010-04-10,2011-04-09,Male,40.0,2010-04-10,3,Bus,Mercedes,Car Classic,0
4071,ID_C6OHKUN,2010-01-10,2011-01-09,Male,53.0,2010-01-10,1,Saloon,TOYOTA,CarSafe,0
4072,ID_C6P8Q3Q,2010-01-10,2011-01-09,Female,46.0,2010-01-10,1,JEEP,TOYOTA,Car Classic,0
4073,ID_C6T4CJS,2010-01-02,2011-01-01,Male,31.0,2010-01-02,1,JEEP,Lexus,Car Classic,1
4075,ID_C6XIDMU,2010-08-03,2011-08-02,Male,61.0,2010-08-03,2,Saloon,Honda,Car Classic,0
4076,ID_C6Y20F4,2010-01-21,2011-01-20,Male,31.0,2010-01-21,1,Saloon,TOYOTA,CarSafe,0
4078,ID_C72KT4S,2010-07-09,2011-07-08,Male,40.0,2010-07-09,1,Saloon,TOYOTA,CarSafe,0
4079,ID_C768WYZ,2010-10-08,2011-03-03,Female,51.0,2010-10-08,1,JEEP,Honda,Car Classic,0
4080,ID_C78IDG8,2010-04-26,2011-04-25,Female,50.0,2010-04-26,1,Saloon,Honda,CarSafe,0
4081,ID_C78YUP5,2010-03-27,2011-03-26,Male,48.0,2010-03-27,1,JEEP,Mercedes,Customized Motor,0
4082,ID_C79WTMO,2010-02-21,2011-02-20,Male,63.0,2010-02-21,1,Saloon,TOYOTA,CarSafe,0
4085,ID_C7LH27Q,2010-09-19,2011-09-18,Male,49.0,2010-09-19,1,Saloon,TOYOTA,CarSafe,0
4088,ID_C7UE65D,2010-02-14,2011-02-13,Female,56.0,2010-02-14,1,Saloon,TOYOTA,Car Classic,1
4089,ID_C7XIW88,2010-05-03,2011-05-02,Male,38.0,2010-05-03,1,Saloon,TOYOTA,Car Classic,0
4093,ID_C869MME,2010-07-20,2011-07-19,Female,52.0,2010-07-20,1,JEEP,TOYOTA,Car Classic,0
4097,ID_C8MNBQ3,2010-10-03,2011-10-02,Male,50.0,2010-10-03,1,Saloon,TOYOTA,CarSafe,0
4098,ID_C8O1429,2010-03-22,2011-03-21,Male,40.0,2010-03-22,1,Saloon,Honda,CarSafe,0
4099,ID_C8OYBC9,2010-02-14,2011-02-13,Male,35.0,2010-02-14,1,Saloon,TOYOTA,Car Classic,0
4100,ID_C8QEZ3H,2010-04-15,2011-04-14,Male,43.0,2010-04-15,1,JEEP,Lexus,Car Plus,0
