,ID,Policy Start Date,Policy End Date,Gender,Age,First Transaction Date,No_Pol,Car_Category,Subject_Car_Colour,Subject_Car_Make,LGA_Name,State,ProductName,target,Mirage
3166,ID_9DC55M4,2010-12-14,2011-12-11,Male,83.0,2010-12-14,1,JEEP,Silver,TOYOTA,Ife Central,Ife-Central,Car Classic,0,0
3172,ID_9EBFL9O,2010-09-09,2011-05-18,Male,36.0,2010-09-09,1,Saloon,Wine,TOYOTA,Agege,Lagos,Car Classic,1,0
3180,ID_9EM0WNU,2010-06-29,2011-06-27,Male,40.0,2010-06-29,3,Saloon,Black,TOYOTA,Victoria Island,Lagos,Car Classic,0,1
3181,ID_9ERQDPJ,2010-08-29,2011-08-28,Male,47.0,2010-08-29,2,JEEP,Black,Lexus,Ibeju/Lekki,Ibeju-Lekki,Car Plus,1,1
3189,ID_9FHTSQY,2010-07-03,2011-07-02,Female,65.0,2010-07-03,2,Saloon,Black,TOYOTA,Yaba,Benue,Car Classic,0,1
3197,ID_9G6SWT9,2010-08-07,2011-08-06,Male,30.0,2010-08-07,1,Saloon,Grey,TOYOTA,Ikeja,Lagos,Car Classic,0,1
3206,ID_9H8B1WH,2010-11-26,2011-11-25,Female,45.0,2010-11-26,1,Saloon,White,TOYOTA,Surulere,Lagos,Car Classic,0,1
3207,ID_9HAEC8B,2010-02-19,2011-02-18,Female,38.0,2010-02-19,1,JEEP,Black,Lexus,Agege,Lagos,Car Classic,0,1
3213,ID_9I2ABHV,2010-02-26,2011-02-25,Male,33.0,2010-02-26,1,Saloon,White,TOYOTA,OKOTA,Benue,Car Classic,0,1
3217,ID_9ILQLKO,2010-08-28,2011-08-27,Male,61.0,2010-08-28,1,JEEP,Black,TOYOTA,Surulere,Lagos,Car Classic,0,1
3226,ID_9JII2N0,2010-09-08,2011-08-26,Male,35.0,2010-09-08,1,Saloon,Black,TOYOTA,Surulere,Lagos,Car Classic,0,1
3230,ID_9K1VAJL,2010-03-29,2011-03-28,Male,54.0,2010-03-29,1,Saloon,Black,TOYOTA,Nnewi North,Nnewi-North,Car Classic,0,1
3242,ID_9KUQE24,2010-08-05,2011-08-04,Male,50.0,2010-08-05,1,JEEP,Grey,Jeep,Orolu,Benue,Car Classic,0,1
3250,ID_9LMC049,2010-02-20,2011-02-19,Male,48.0,2010-02-20,3,Saloon,Red,TOYOTA,Victoria Island,Lagos,Car Classic,0,0
3258,ID_9MKUSR5,2010-05-24,2011-05-23,Male,47.0,2010-05-24,1,Saloon,Black,TOYOTA,Shomolu,Benue,Car Classic,0,1
3266,ID_9NTXWCF,2010-05-31,2011-05-30,Male,60.0,2010-05-31,4,Saloon,Black,Audi,Akoka,Lagos,Customized Motor,0,1
3291,ID_9PWZC54,2010-10-11,2011-10-09,Male,34.0,2010-10-11,1,JEEP,Black,TOYOTA,Agege,Lagos,Car Classic,0,1
3296,ID_9QL5UTC,2010-11-12,2011-11-11,Male,40.0,2010-11-12,1,Saloon,Blue,TOYOTA,Ketu,Lagos,Car Classic,1,0
3297,ID_9QLCHUB,2010-06-14,2011-06-03,Male,64.0,2010-06-14,1,JEEP,Silver,TOYOTA,Ikorodu,Lagos,Car Classic,0,0
3298,ID_9QMU1N1,2010-08-07,2011-02-06,Female,35.0,2010-08-07,1,JEEP,Black,TOYOTA,Eti-Osa,Eti-Osa,Car Classic,0,1
3309,ID_9RXSM98,2010-07-11,2011-07-10,Male,51.0,2010-07-11,1,JEEP,Blue,TOYOTA,Ogbmosho South,Ogbmosho-South,Car Classic,0,0
3313,ID_9SFRH9M,2010-06-21,2011-06-20,Male,43.0,2010-06-21,4,Saloon,Black,Lexus,Obia/Akpor,Obia-Akpor,Car Classic,0,1
3319,ID_9STRBW1,2010-11-27,2011-11-26,Female,78.0,2010-11-27,1,Saloon,Black,Kia,Awka North,Awka-North,Car Plus,0,1
3326,ID_9TMMZU3,2010-03-14,2011-03-13,Male,43.0,2010-03-14,1,Saloon,Black,TOYOTA,Obia/Akpor,Obia-Akpor,Car Classic,1,1
3329,ID_9U65XZZ,2010-02-26,2011-02-25,Male,50.0,2010-02-26,1,Saloon,Silver,Lexus,Ketu,Lagos,Car Classic,0,0
3331,ID_9UEBUJO,2010-03-12,2011-03-09,Female,45.0,2010-03-12,1,Saloon,Blue,TOYOTA,Shomolu,Benue,Car Classic,0,0
3334,ID_9UOXV2E,2010-08-26,2011-08-07,Female,48.0,2010-08-26,1,JEEP,Grey,TOYOTA,Shomolu,Benue,Car Classic,0,1
3339,ID_9V9NU4K,2010-01-02,2011-01-01,Male,44.0,2010-01-02,2,Saloon,White,TOYOTA,Ojo,Benue,Car Classic,0,1
3342,ID_9VRJTMM,2010-08-01,2011-07-31,Male,38.0,2010-08-01,1,Saloon,Silver,TOYOTA,Oshodi-Isolo,Oshodi-Isolo,Car Classic,0,0
3350,ID_9WE5INW,2010-06-22,2011-03-10,Female,35.0,2010-06-22,3,Saloon,Green,TOYOTA,Amuwo-Odofin,Amuwo-Odofin,Car Classic,0,0
3351,ID_9WPDOG0,2010-09-18,2011-05-21,Male,33.0,2010-09-18,1,JEEP,Silver,Lexus,Surulere,Lagos,Car Classic,0,0
3353,ID_9WWLC7Z,2010-09-04,2011-09-03,Male,50.0,2010-09-04,2,Saloon,Black,Mercedes,Ibeju/Lekki,Ibeju-Lekki,Car Classic,0,1
3359,ID_9X8L3JZ,2010-01-23,2011-01-22,Female,60.0,2010-01-23,1,Saloon,Black,Hyundai,Ikoyi,Lagos,Car Plus,0,1
3363,ID_9XOPUKT,2010-01-09,2010-12-31,Male,81.0,2010-01-09,1,Saloon,Black,TOYOTA,Victoria Island,Lagos,Customized Motor,0,1
3374,ID_9YG250E,2010-05-24,2011-05-23,Female,81.0,2010-05-24,2,JEEP,Black,TOYOTA,Ikoyi,Lagos,Car Classic,0,1
3376,ID_9YL7Q56,2010-12-13,2011-12-12,Female,63.0,2010-12-13,1,Saloon,Silver,TOYOTA,AWOYAYA,Benue,Car Classic,0,0
3386,ID_9ZMADUL,2010-07-31,2011-07-30,Male,50.0,2010-07-31,2,JEEP,Black,Hyundai,Victoria Island,Lagos,Car Plus,0,1
3389,ID_9ZVJVT3,2009-09-13,2011-09-12,Male,62.0,2009-09-13,2,JEEP,Black,TOYOTA,Surulere,Lagos,Car Classic,0,1
3399,ID_A0N5FFD,2010-03-15,2011-03-13,Male,33.0,2010-03-15,1,Saloon,Silver,Volkswagen,Lagos Mainland,Lagos,Car Classic,0,0
3402,ID_A0YEBWA,2010-01-22,2011-01-21,Male,44.0,2010-01-22,3,JEEP,Grey,TOYOTA,Asaba,Delta,Car Classic,0,1
3405,ID_A1QED47,2010-04-17,2011-04-16,Male,20.0,2010-04-17,5,JEEP,Black,Land Rover,Victoria Island,Lagos,Car Classic,0,1
3406,ID_A1RPX36,2010-04-30,2011-04-29,Male,49.0,2010-04-30,1,JEEP,Black,TOYOTA,Lagos Mainland,Lagos,Car Classic,0,1
3407,ID_A1WIKT1,2010-01-16,2011-01-15,Female,46.0,2010-01-16,1,JEEP,Black,TOYOTA,Abuja Municipal,Abuja-Municipal,Car Classic,0,1
3408,ID_A1YTAYX,2010-08-22,2011-07-06,Female,39.0,2010-08-22,2,Saloon,Grey,TOYOTA,Ikeja,Lagos,Car Classic,0,1
3411,ID_A2JDJWB,2010-07-04,2011-07-03,Male,44.0,2010-07-04,1,JEEP,Black,BMW,Lekki,Lagos,Car Classic,0,1
3421,ID_A3PZCAF,2010-11-14,2011-11-13,Female,75.0,2010-11-14,1,JEEP,Black,TOYOTA,Ilupeju,Lagos,Car Classic,1,1
3428,ID_A3YY5XJ,2010-04-17,2011-04-16,Male,41.0,2010-04-17,2,Saloon,Grey,Honda,Mushin,Lagos,Car Classic,0,1
3429,ID_A41X8SS,2010-03-15,2011-03-14,Male,43.0,2010-03-15,1,JEEP,Green,Honda,Egbeda,Benue,Car Classic,1,0
3435,ID_A4EO26O,2010-10-23,2011-10-22,Male,82.0,2010-10-23,2,Saloon,Black,TOYOTA,Shomolu,Benue,Car Classic,0,1
3438,ID_A4OXZC4,2010-02-28,2011-02-27,Male,53.0,2010-02-28,1,Saloon,Grey,TOYOTA,Ketu,Lagos,Car Classic,0,1
3443,ID_A5EGPW9,2010-06-07,2011-06-05,Male,64.0,2010-06-07,2,Saloon,Black,TOYOTA,Abuja Municipal,Abuja-Municipal,Car Classic,0,1
3449,ID_A5V91GI,2010-09-04,2011-09-03,Male,50.0,2010-09-04,2,JEEP,Black,Mercedes,Ibeju/Lekki,Ibeju-Lekki,Car Classic,0,1
3456,ID_A6DTA9D,2010-09-18,2011-05-21,Male,33.0,2010-09-18,1,JEEP,Silver,Lexus,Surulere,Lagos,Car Classic,1,0
3457,ID_A6HZL2E,2010-02-28,2011-01-01,Male,30.0,2010-02-28,1,Saloon,Red,TOYOTA,"Okpe, Delta State",Delta,Car Classic,1,0
3461,ID_A7H4T2F,2010-04-14,2011-04-13,Male,50.0,2010-04-14,2,Saloon,Black,TOYOTA,Ikeja,Lagos,Car Classic,0,1
3466,ID_A84GMJD,2010-08-05,2011-08-04,Male,35.0,2010-08-05,2,Saloon,Gold,TOYOTA,Oshodi-Isolo,Oshodi-Isolo,Car Classic,0,0
3467,ID_A85CV4A,2010-05-22,2011-04-15,Male,42.0,2010-05-22,1,Saloon,Black,TOYOTA,Ikeja,Lagos,Car Classic,0,1
3478,ID_A9QB2Y8,2010-04-10,2011-04-09,Female,34.0,2010-04-10,1,Saloon,Ash,TOYOTA,AKUTE,Benue,Car Classic,1,0
3484,ID_AAFZ038,2010-04-16,2011-04-15,Female,39.0,2010-04-16,1,Saloon,Black,Hyundai,Kosofe,Benue,Car Classic,0,1
3485,ID_AAG1SEB,2010-07-05,2011-07-04,Male,42.0,2010-07-05,2,JEEP,Black,Land Rover,Lagos Mainland,Lagos,Car Plus,0,1
3490,ID_ABBJIG2,2010-04-04,2011-04-03,Female,36.0,2010-04-04,1,JEEP,Green,Volkswagen,Surulere,Lagos,Car Classic,0,0
3495,ID_ABV5E0U,2010-11-21,2011-11-20,Male,32.0,2010-11-21,2,Saloon,Black,Honda,Central,Benue,Car Classic,0,1
3501,ID_ACEX2F2,2010-06-13,2011-06-12,Male,39.0,2010-06-13,1,Saloon,Black,TOYOTA,Nnewi North,Nnewi-North,Car Classic,0,1
3505,ID_ACL3TCL,2010-11-06,2011-07-30,Female,31.0,2010-11-06,1,JEEP,White,Lexus,Ketu,Lagos,Car Classic,1,1
3510,ID_ADF2BSN,2010-11-23,2011-05-31,Male,37.0,2010-11-23,2,Saloon,Grey,TOYOTA,Lagos Mainland,Lagos,Car Classic,1,1
3521,ID_AEAMT0G,2010-04-09,2011-04-07,Male,47.0,2010-04-09,2,Truck,Blue,Mack,Lagos,Lagos,CVTP,0,0
3524,ID_AEJLFH7,2010-12-05,2011-12-04,Female,44.0,2010-12-05,1,JEEP,Red,Hyundai,Lagos Island,Lagos,Car Classic,0,0
3525,ID_AEPOK47,2010-09-10,2011-09-09,Male,34.0,2010-09-10,3,Saloon,White,TOYOTA,Ajah,Lagos,Car Classic,0,1
3532,ID_AGFK9B4,2010-05-07,2011-05-06,Female,35.0,2010-05-07,2,Bus,Grey,TOYOTA,Victoria Island,Lagos,Car Classic,1,1
3538,ID_AH1GSCS,2010-04-24,2011-04-23,Male,42.0,2010-04-24,1,Saloon,Grey,Lexus,Surulere,Lagos,Car Classic,0,1
3543,ID_AHRVBPF,2010-03-22,2011-03-20,Male,69.0,2010-03-22,2,JEEP,Brown,Ford,Alimosho,Lagos,Car Classic,1,0
3546,ID_AIJQ0D9,2010-06-06,2011-06-05,Male,42.0,2010-06-06,1,Saloon,Grey,TOYOTA,Lekki,Lagos,Car Classic,1,1
3557,ID_AKNFGZE,2010-02-08,2011-02-05,Male,35.0,2010-02-08,1,JEEP,Black,Lexus,Surulere,Lagos,Car Classic,1,1
3559,ID_AKQ8B5U,2010-05-23,2011-05-22,Male,54.0,2010-05-23,2,Pick Up,Black,Ford,Lekki,Lagos,CVTP,0,1
3561,ID_AL71QE6,2010-07-25,2011-01-22,Male,20.0,2010-07-25,2,Saloon,Silver,TOYOTA,Lagos Island,Lagos,Customized Motor,0,0
3563,ID_ALB603Y,2010-01-24,2010-12-31,Male,35.0,2010-01-24,1,JEEP,Blue,TOYOTA,Ikeja,Lagos,Car Classic,1,0
3567,ID_ALU26IW,2010-07-16,2011-07-15,Male,49.0,2010-07-16,2,Pick Up,Brown,TOYOTA,Surulere,Lagos,CVTP,0,0
3578,ID_AN8O8WO,2010-12-29,2011-12-28,Male,32.0,2010-12-29,2,JEEP,Black,Lexus,Oredo,Benue,Car Classic,0,1
3596,ID_AP08LTB,2010-03-18,2011-03-17,Female,59.0,2010-03-18,2,Bus,Black,TOYOTA,Lagos,Lagos,Car Classic,1,1
3600,ID_APAYVQY,2010-07-15,2011-07-14,Female,26.0,2010-07-15,1,JEEP,Gold,Ford,Ikeja,Lagos,Car Classic,0,0
3602,ID_APDIUFQ,2010-05-21,2011-05-20,Male,75.0,2010-05-21,2,JEEP,Black,Mercedes,Ikeja,Lagos,Car Classic,0,1
3614,ID_AQFUL8E,2010-06-06,2011-06-05,Male,36.0,2010-06-06,1,JEEP,Black,TOYOTA,Onitsha,Anambra,Car Classic,0,1
3618,ID_AR14HG1,2010-01-16,2011-01-15,Male,45.0,2010-01-16,1,JEEP,Black,TOYOTA,Ikeja,Lagos,Car Classic,1,1
3623,ID_ARLSV8F,2010-05-10,2011-05-09,Male,37.0,2010-05-10,1,Saloon,Grey,TOYOTA,Shomolu,Benue,Car Classic,0,1
3630,ID_ASVD0Y3,2010-03-01,2011-02-28,Female,44.0,2010-03-01,1,Saloon,Black,TOYOTA,Katagum,Benue,Car Classic,1,1
3641,ID_AU34KRM,2010-11-04,2011-02-03,Female,32.0,2010-11-04,1,Saloon,Gold,TOYOTA,OGUN,Ogun,Car Classic,0,0
3643,ID_AUAJJ2D,2010-03-20,2011-03-19,Male,39.0,2010-03-20,1,Saloon,Grey,Honda,RIVERS,Rivers,Car Classic,0,1
3648,ID_AUOR3B9,2010-01-16,2011-01-15,Female,43.0,2010-01-16,1,JEEP,Red,TOYOTA,Egbeda,Benue,Car Classic,0,0
3652,ID_AUV3NJ2,2010-06-28,2011-06-27,Female,46.0,2010-06-28,1,JEEP,Silver,Land Rover,Lekki,Lagos,Customized Motor,0,0
3654,ID_AVBGBJ6,2010-07-11,2011-07-10,Male,49.0,2010-07-11,1,JEEP,Black,Range Rover,Apapa,Lagos,Car Classic,0,1
3662,ID_AWRE5DA,2010-01-23,2011-01-22,Male,35.0,2010-01-23,1,Saloon,Red,TOYOTA,Surulere,Lagos,Car Classic,1,0
3663,ID_AWUSLVJ,2010-05-16,2011-05-15,Male,56.0,2010-05-16,3,JEEP,Black,Mercedes,Surulere,Lagos,Car Classic,1,1
3673,ID_AXVG67I,2010-07-22,2011-07-20,Female,47.0,2010-07-22,2,JEEP,Green,TOYOTA,Akwa Ibom,Akwa-Ibom,Car Classic,0,0
3680,ID_AYR4U6S,2010-02-07,2011-02-06,Male,31.0,2010-02-07,1,Saloon,Silver,Lexus,Maryland,Lagos,Car Plus,0,0
3682,ID_AYUHNKS,2010-03-11,2011-03-10,Male,41.0,2010-03-11,1,Saloon,Gold,TOYOTA,Maryland,Lagos,Car Classic,0,0
3686,ID_AZ3KB68,2010-05-13,2011-05-12,Female,39.0,2010-05-13,2,Saloon,Black,Kia,Alimosho,Lagos,Car Classic,0,1
3693,ID_B02HEQJ,2010-02-15,2011-02-14,Male,41.0,2010-02-15,2,Saloon,Wine,TOYOTA,Oshodi,Lagos,Car Classic,1,0
3694,ID_B03EQUJ,2010-04-12,2011-04-11,Female,40.0,2010-04-12,2,JEEP,Black,TOYOTA,Lagos,Lagos,Customized Motor,0,1
3698,ID_B0M8TB1,2010-10-25,2011-10-24,Male,41.0,2010-10-25,3,JEEP,Black,Honda,Lekki,Lagos,Car Classic,0,1
3711,ID_B23NTOK,2010-12-20,2011-12-19,Female,80.0,2010-12-20,1,JEEP,Black,TOYOTA,Eti-Osa,Eti-Osa,Car Classic,0,1
3720,ID_B2X0QU2,2010-09-19,2011-09-18,Male,50.0,2010-09-19,3,JEEP,White,Ford,Port-Harcourt,Port-Harcourt,Car Plus,1,1
3725,ID_B3DDGIU,2010-01-11,2011-01-10,Male,33.0,2010-01-11,2,Saloon,Red,TOYOTA,Anambra East,Anambra-East,Car Classic,0,0
3727,ID_B3FUY07,2010-06-24,2011-06-23,Male,47.0,2010-06-24,1,Saloon,White,Honda,Ajeromi-Ifelodun,Ajeromi-Ifelodun,Car Classic,0,1
3731,ID_B3R6ERM,2010-04-12,2011-04-11,Female,44.0,2010-04-12,1,JEEP,Green,Honda,Ikeja,Lagos,Car Classic,0,0
3736,ID_B422KDU,2010-07-18,2011-07-17,Male,39.0,2010-07-18,1,JEEP,Ash,Lexus,Victoria Island,Lagos,Car Classic,0,0
3739,ID_B4AERPV,2010-11-22,2011-11-21,Female,58.0,2010-11-22,2,Saloon,Black,TOYOTA,Obia/Akpor,Obia-Akpor,Car Classic,0,1
3740,ID_B4F0CAS,2010-08-02,2011-08-01,Male,56.0,2010-08-02,1,JEEP,Black,TOYOTA,Port Harcourt,Rivers,Car Classic,0,1
3744,ID_B5CQX42,2010-07-15,2011-07-14,Male,33.0,2010-07-15,1,Saloon,Grey,Lexus,Eti-Osa,Eti-Osa,Car Classic,0,1
3745,ID_B5IUYYK,2010-05-24,2011-05-23,Female,37.0,2010-05-24,1,JEEP,Black,Honda,Ikeja,Lagos,Car Classic,0,1
3746,ID_B5MF65K,2010-03-11,2011-03-10,Male,36.0,2010-03-11,1,Saloon,Black,TOYOTA,Kosofe,Benue,Car Classic,0,1
3754,ID_B6G2LIJ,2010-01-22,2011-01-21,Male,35.0,2010-01-22,1,Saloon,Wine,TOYOTA,IBA,Benue,Car Classic,0,0
3768,ID_B8HCVD1,2010-01-30,2011-01-29,Female,77.0,2010-01-30,2,JEEP,Grey,Honda,Lagos Mainland,Lagos,Car Classic,0,1
3769,ID_B8KSX8R,2010-06-18,2011-06-13,Male,52.0,2010-06-18,1,Saloon,Blue,TOYOTA,ISHERI,Benue,Car Classic,1,0
3770,ID_B8UXQK3,2010-06-11,2011-06-10,Male,75.0,2010-06-11,2,JEEP,Black,Lexus,Eti-Osa,Eti-Osa,Car Classic,0,1
3772,ID_B97JRMM,2010-06-27,2011-06-26,Male,79.0,2010-06-27,1,Saloon,Black,TOYOTA,Ikot Ekpene,Akwa-Ibom,Car Classic,0,1
3774,ID_B9DC4XW,2010-02-14,2011-02-13,Female,44.0,2010-02-14,1,Saloon,Black,TOYOTA,Abeokuta,Ogun,Car Classic,0,1
3775,ID_B9I7SPT,2010-10-27,2011-10-26,Female,52.0,2010-10-27,2,Saloon,Black,Hyundai,Ibeju/Lekki,Ibeju-Lekki,Car Classic,0,1
3777,ID_B9VGBQ9,2010-03-05,2011-03-04,Female,39.0,2010-03-05,1,Saloon,Blue,TOYOTA,Lagos Mainland,Lagos,Car Classic,0,0
3780,ID_BABPRC7,2010-03-15,2011-03-14,Male,34.0,2010-03-15,1,JEEP,Grey,TOYOTA,Yaba,Benue,Car Classic,0,1
3785,ID_BARM7WH,2010-02-12,2011-02-11,Male,43.0,2010-02-12,1,Bus,Black,TOYOTA,Warri Central,Warri-Central,Car Classic,0,1
3788,ID_BAY0FJE,2010-07-01,2011-06-30,Male,36.0,2010-07-01,2,Saloon,Black,TOYOTA,ENUGU EAST,ENUGU-EAST,Car Classic,1,1
3798,ID_BBLWA30,2010-02-20,2011-02-19,Female,40.0,2010-02-20,1,Saloon,Red,TOYOTA,Mushin,Lagos,Car Classic,0,0
3812,ID_BCTD16D,2010-01-28,2011-01-27,Male,64.0,2010-01-28,1,JEEP,Green,TOYOTA,Lagos Mainland,Lagos,Car Classic,0,0
3816,ID_BD1E51P,2010-08-03,2011-05-05,Male,41.0,2010-08-03,1,Saloon,Gold,TOYOTA,Ikeja,Lagos,Car Classic,0,0
3819,ID_BDMUA4F,2010-10-05,2011-10-04,Female,45.0,2010-10-05,3,JEEP,White,TOYOTA,Eti-Osa,Eti-Osa,Car Classic,0,1
3827,ID_BEIZPFK,2010-03-21,2011-03-20,Male,44.0,2010-03-21,2,Truck,White,Man,Jos North,Jos-North,CVTP,0,1
3829,ID_BER2L5R,2010-03-21,2011-03-20,Female,50.0,2010-03-21,1,Saloon,Black,Hyundai,Ikeja,Lagos,Car Classic,0,1
3830,ID_BEWKIW9,2010-10-01,2011-09-29,Male,36.0,2010-10-01,2,Saloon,Silver,Honda, IFAKO,Benue,Car Classic,1,0
3842,ID_BGWJYUW,2010-02-15,2011-02-14,Male,35.0,2010-02-15,1,Saloon,Dark Red,Lexus,Alimosho,Lagos,Car Classic,0,0
3843,ID_BH32R7F,2010-01-04,2011-01-03,Male,46.0,2010-01-04,1,JEEP,Grey,TOYOTA,Lagos Island,Lagos,Car Classic,0,1
3845,ID_BHB97V4,2010-12-11,2011-12-10,Female,56.0,2010-12-11,1,JEEP,Black,BMW,Eti-Osa,Eti-Osa,CarSafe,0,1
3847,ID_BHEAKCC,2010-11-07,2011-11-06,Male,30.0,2010-11-07,1,Saloon,Grey,TOYOTA,Lekki,Lagos,Car Classic,0,1
3851,ID_BHPDA4O,2010-07-04,2011-07-03,Male,36.0,2010-07-04,2,Saloon,Black,TOYOTA,ENUGU EAST,ENUGU-EAST,Car Classic,1,1
3862,ID_BIQI629,2010-03-04,2011-02-03,Male,40.0,2010-03-04,2,JEEP,White,TOYOTA,Victoria Island,Lagos,Car Classic,0,1
3864,ID_BITH0J3,2010-01-19,2011-01-18,Female,53.0,2010-01-19,2,Saloon,Wine,TOYOTA,Lagos Mainland,Lagos,Car Plus,0,0
3866,ID_BJ7NJ2D,2010-11-14,2011-11-13,Male,39.0,2010-11-14,2,Saloon,Silver,Kia,Abuja,Abuja,Car Classic,0,0
3868,ID_BJ95L9P,2010-09-05,2011-04-17,Male,36.0,2010-09-05,2,Saloon,Silver,TOYOTA,OGUDU,Benue,Car Classic,1,0
3870,ID_BJGEHDV,2010-07-29,2011-07-28,Male,45.0,2010-07-29,2,JEEP,Black,Ford,Ibeju/Lekki,Ibeju-Lekki,Car Classic,1,1
3873,ID_BJYZ0ZZ,2010-03-16,2011-03-15,Male,39.0,2010-03-16,1,Saloon,Black,Lexus,OGUDU,Benue,Car Plus,0,1
3878,ID_BL5P125,2010-06-14,2011-06-13,Male,45.0,2010-06-14,3,Saloon,Black,TOYOTA,Abuja Municipal,Abuja-Municipal,Car Classic,0,1
3882,ID_BLOCOHT,2010-02-19,2011-02-18,Male,36.0,2010-02-19,2,Saloon,Silver,TOYOTA,IBADAN NORTH EAST,Oyo,Car Plus,0,0
3890,ID_BM5E379,2010-12-06,2011-09-24,Female,42.0,2010-12-06,1,JEEP,White,Land Rover,Lagos Island,Lagos,Car Classic,0,1
3900,ID_BMSRI2L,2010-10-28,2011-10-27,Male,42.0,2010-10-28,2,JEEP,Black,Lexus,Lagos Mainland,Lagos,Customized Motor,0,1
3905,ID_BNQIPCY,2010-07-02,2011-07-01,Male,45.0,2010-07-02,1,Saloon,Red,TOYOTA,Osogbo,Osun,Car Classic,0,0
3910,ID_BO8Q7SE,2010-03-29,2011-03-28,Female,39.0,2010-03-29,2,JEEP,Black,Kia,Surulere,Lagos,Car Classic,0,1
3911,ID_BODNALL,2010-07-30,2011-07-29,Male,46.0,2010-07-30,2,Saloon,Black,Nissan,Alimosho,Lagos,Car Classic,0,1
3912,ID_BOJPEPP,2010-05-23,2011-05-22,Male,75.0,2010-05-23,2,Saloon,Gold,TOYOTA,Ikeja,Lagos,Car Classic,0,0
3913,ID_BOR8QEI,2010-03-14,2011-01-01,Male,30.0,2010-03-14,1,Saloon,Green,Mercedes,Niger State,Niger-State,Car Classic,0,0
3916,ID_BP7ULQ2,2010-10-29,2011-01-28,Male,35.0,2010-10-29,2,JEEP,Grey,Mazda,Ogba/Egbema/Ndoni,Ogba-Ndoni,Car Classic,0,1
3926,ID_BQ7ZD6F,2010-02-06,2011-02-05,Female,40.0,2010-02-06,1,Saloon,Silver,Kia,Ibadan South West,Ibadan-West,Car Classic,0,0
3944,ID_BS2P6ZC,2010-08-24,2011-08-23,Female,54.0,2010-08-24,2,Saloon,Black,TOYOTA,Ikeja,Lagos,Car Classic,0,1
3949,ID_BSC3TPW,2010-12-19,2011-03-18,Male,40.0,2010-12-19,1,Saloon,Silver,Hyundai,Victoria Island,Lagos,Car Classic,0,0
3955,ID_BTB7YPN,2010-10-27,2011-10-26,Male,20.0,2010-10-27,1,JEEP,Black,Hyundai,Eti-Osa,Eti-Osa,Car Classic,0,1
3960,ID_BTOHZOY,2010-11-22,2011-11-21,Male,65.0,2010-11-22,1,Saloon,Black,TOYOTA,Amuwo-Odofin,Amuwo-Odofin,Car Classic,0,1
3964,ID_BU78OEJ,2010-03-20,2011-03-16,Female,32.0,2010-03-20,1,Saloon,Red,Kia,GBAGADA,Benue,Car Classic,0,0
3970,ID_BV0MD41,2010-01-08,2011-01-07,Female,37.0,2010-01-08,1,JEEP,Ash,TOYOTA,AREPO,Benue,Car Classic,1,0
3974,ID_BVHF30H,2010-05-07,2011-05-06,Female,66.0,2010-05-07,1,JEEP,Black,Lexus,Warri Central,Warri-Central,Car Classic,0,1
3979,ID_BVVCT8G,2010-07-11,2011-01-08,Male,36.0,2010-07-11,1,Saloon,Black,TOYOTA,Lagos Island,Lagos,Car Classic,0,1
3981,ID_BW3J3WG,2010-05-10,2011-05-09,Female,34.0,2010-05-10,1,Motorcycle,Black & White,Honda,Victoria Island,Lagos,Motor Cycle,0,1
3992,ID_BX92MKO,2010-07-16,2011-07-15,Male,76.0,2010-07-16,3,Saloon,Silver,TOYOTA,Victoria Island,Lagos,Car Classic,0,0
3994,ID_BXPW0NQ,2010-06-05,2011-05-26,Female,56.0,2010-06-05,3,JEEP,Black,Mitsubishi,Ikoyi,Lagos,Customized Motor,0,1
3995,ID_BY22W7O,2010-05-31,2011-05-30,Male,60.0,2010-05-31,4,JEEP,Black,Lexus,Akoka,Lagos,Customized Motor,0,1
4002,ID_BZ0WEYP,2010-02-01,2011-01-31,Male,33.0,2010-02-01,1,Saloon,Grey,Honda,OKOTA,Benue,Car Classic,0,1
4004,ID_BZA16LU,2010-08-06,2011-08-05,Female,40.0,2010-08-06,1,Saloon,Black,Ford,Abuja Municipal,Abuja-Municipal,Car Classic,0,1
4007,ID_C0DPGMH,2010-10-21,2011-10-20,Male,49.0,2010-10-21,1,JEEP,Black,TOYOTA,Eti-Osa,Eti-Osa,Car Classic,0,1
4009,ID_C0L9GI4,2010-02-27,2011-02-26,Female,37.0,2010-02-27,1,Saloon,Silver,Nissan,Victoria Island,Lagos,Car Classic,1,0
4025,ID_C27XBB1,2010-02-28,2011-02-27,Male,40.0,2010-02-28,1,Saloon,Ash,TOYOTA,Surulere,Lagos,Car Plus,1,0
4036,ID_C35Z506,2010-12-10,2011-12-09,Male,44.0,2010-12-10,1,Saloon,Silver,TOYOTA,Alagbado,Lagos,Car Classic,1,0
4040,ID_C3J2V78,2010-01-17,2011-01-16,Female,63.0,2010-01-17,1,Saloon,Black,Hyundai,Benin,Edo,Car Classic,0,1
4049,ID_C4IEZ37,2010-11-12,2011-11-04,Male,70.0,2010-11-12,1,JEEP,Black,Mercedes,Jos South,Jos-South,Car Classic,0,1
4052,ID_C4T5YJN,2010-03-13,2011-03-12,Female,36.0,2010-03-13,3,Saloon,Blue,TOYOTA,Mushin,Lagos,Car Plus,0,0
4056,ID_C57W755,2010-04-30,2011-04-27,Female,40.0,2010-04-30,1,Saloon,Black,Honda,Lagos Mainland,Lagos,Car Classic,0,1
